"x"
"Trachyspermum ammi"
"South Asia"
"Afghanistan"
"Iran"
"Egypt"
"Eritrea"
"Ethiopia"
"Solanum centrale"
"Australia"
"Alexanders"
"Alkanna tinctoria"
"Alligator pepper"
"Allspice"
"Angelica"
"Anise"
"Syzygium anisatum"
"Australia"
"Annatto"
"Artemisia"
"Asafoetida"
"Geum urbanum"
"Avocado"
"Barberry"
"Berberis"
"Basil"
"Basil, Holy"
"Basil, lemon"
"Basil, Thai"
"Bay leaf"
"Cinnamomum tamala"
"Boldo"
"Borage"
"Blue fenugreek"
"California bay laurel"
"Caper"
"Caraway"
"Cardamom"
"Cardamom, black"
"Cinnamomum aromaticum"
"Catnip"
"Cayenne pepper"
"Celery"
"Celery"
"Chervil"
"Chicory"
"Chili pepper"
"Chives"
"Cicely"
"Cilantro"
"Cinnamomum burmannii"
"Cinnamon"
"Cinnamomum loureiroi"
"Cinnamon"
"Canella winterana"
"Backhousia myrtifolia"
"Australia"
"Salvia sclarea"
"Clove"
"Coriander"
"Coriander, Vietnamese"
"Tanacetum balsamita"
"Cubeb"
"Cudweed"
"Gnaphalium"
"Vietnam"
"Eryngium foetidum"
"Cumin"
"Curry leaf"
"Helichrysum italicum"
"Fennel"
"Fenugreek"
"Filé powder"
"Fingerroot"
"Galangal, greater"
"Alpinia galanga"
"Galangal, lesser"
"Cyperus"
"Garlic chives"
"Ginger"
"Etlingera elatior"
"Indonesia"
"Golpar"
"Iran"
"Grains of paradise"
"Grains of Selim"
"Habanero"
"Capsicum chinense"
"Horseradish"
"Houttuynia cordata"
"Vietnam"
"Tagetes minuta"
"Hyssop"
"Jasmine"
"Jakhya"
"Jalapeño"
"Capsicum annuum"
"Jiaogulan"
"Jimbu"
"Nepal"
"Juniper berry"
"Kaffir lime"
"Southeast Asia"
"Bunium persicum"
"South Asia"
"Kawakawa"
"New Zealand"
"Pangium edule"
"Kaempferia galanga"
"Elsholtzia ciliata"
"Garcinia indica"
"Indian confectionery"
"Aframomum corrorima"
"Eritrea"
"Lippia abyssinica"
"Ethiopia"
"Lavender"
"Lemon balm"
"Eucalyptus staigeriana"
"Australia"
"Backhousia citriodora"
"Australia"
"Lemon verbena"
"Cymbopogon citratus"
"C. flexuosus"
"Cymbopogon"
"Leptotes bicolor"
"Paraguay"
"southern Brazil"
"Lesser calamint"
"Italy"
"Licorice"
"Tilia"
"Lovage"
"Ceratonia siliqua"
"Mace"
"Mahleb"
"Marjoram"
"Mastic"
"Pistacia lentiscus"
"Mentha"
"Pseudowintera colorata"
"New Zealand"
"Abelmoschus moschatus"
"Mustard, black"
"mustard plant"
"mustard seed"
"Brassica nigra"
"Mustard, brown"
"Brassica juncea"
"Mustard, white"
"Sinapis alba"
"Brassica hirta"
"New Mexico chile"
"Hatch"
"Capsicum annuum"
"New Mexico"
"Group"
"Nigella"
"Njangsa"
"Nutmeg"
"Eucalyptus olida"
"Australia"
"Oregano"
"Oregano, Cuban"
"Plectranthus amboinicus"
"Orris root"
"Iris germanica"
"I. florentina"
"I. pallida"
"Pandanus"
"Pandanus"
"Paprika"
"Paracress"
"Brazil"
"Parsley"
"Pepper"
"Pepper, Brazilian"
"Pepper, Dorrigo"
"Australia"
"Pepper, long"
"Tasmannia lanceolata"
"Peppermint"
"Eucalyptus dives"
"Perilla"
"Deulkkae"
"Kkaennip"
"Shiso"
"Peruvian pepper"
"Limnophila aromatica"
"Vietnam"
"Rosemary"
"Rue"
"Safflower"
"Saffron"
"use of saffron"
"Salt"
"Sage"
"Saigon cinnamon"
"Salad burnet"
"Salep"
"Sassafras"
"Sesame Seed"
"Savory, summer"
"Savory, winter"
"Shiso"
"Perilla frutescens"
"Silphium"
"Ancient Roman cuisine"
"Ancient Greek cuisine"
"Sorrel"
"Rumex acetosella"
"Mentha spicata"
"Spikenard"
"Star anise"
"Sumac"
"Galium odoratum"
"Szechuan pepper"
"Tarragon"
"Tabasco"
"Capsicum frutescens"
"Thyme"
"Thyme, lemon"
"Turmeric"
"Vanilla"
"Voatsiperifery"
"Wasabi"
"Water-pepper"
"Watercress"
"Wattleseed"
"Thymus serpyllum"
"Willow herb"
"Wintergreen"
"Geum urbanum"
"Galium odoratum"
"Artemisia absinthium"
"Bushfood spices"
"Food grading of spices"
"Herb"
"List of basil cultivars"
"List of Capsicum cultivars"
"List of dried foods"
"List of food origins"
"List of smoked spices"
"List of spice mixes"
"List of spices used in root beer"
"List of foods"
"Seasoning"
"Spice Bazaar, Istanbul"
"Spice mix"
"Assamese spices"
"Aztec spices"
"Bulgarian spices"
"Chilean herbs and spices"
"Hungarian spices"
"Indonesian spices"
"List of Armenian spices and herbs"
"List of Australian herbs and spices"
"List of Bangladeshi spices"
"List of Gujarati spices"
"List of Indian spices"
"List of Indonesian spices"
"List of Indonesian spices"
"List of Italian herbs and spices"
"List of Pakistani spices"
"List of Puerto Rican spices and seasonings"
"List of Thai herbs and spices"
"List of Vietnamese spices and herbs"
"Lithuanian spices"
"Manado spices"
"Medieval spices"
"Moroccan spices"
"Nigerien spices"
"Sri Lankan spices"
"South Asian spices"
"Thai herbs and spices"
"Vietnamese herbs and spices"
