vegetables
artichoke
eggplant
amrud
asparagus
"legumes
alfalfa sprouts
azuki beans (or adzuki)
bean sprouts
black beans
black-eyed peas
borlotti bean
broad beans
chickpeas, garbanzos, or ceci beans
green beans
kidney beans
lentils
lima beans or Butter bean
mung beans
navy beans
pinto beans
runner beans
split peas
soy beans
peas
mangetout or snap peas"
alfalfa sprouts
azuki beans
bean sprouts
black beans
black-eyed peas
borlotti bean
broad beans
 garbanzo
green beans
kidney beans
lentils
lima beans
butter beans
mung beans
navy beans
pinto beans
runner beans
split peas
soy beans
peas
 snap peas
broccoflower
broccoli
brussels sprouts
"cabbage
kohlrabi"
kohlrabi
cauliflower
celery
endive
fiddleheads
frisee
fennel
"greens
beet greens (chard)
bok choy
chard (beet greens)
collard greens
kale
mustard greens
spinach
quinoa"
chard
bok choy
collard greens
kale
mustard greens
spinach
quinoa
"herbs and spices
anise
basil
caraway
cilantro (also known as coriander)
chamomile
dill
fennel
lavender
lemon Grass
marjoram
oregano
parsley
rosemary
sage
thyme"
anise
basil
caraway
cilantro
chamomile
dill
fennel
lavender
lemon Grass
marjoram
oregano
parsley
rosemary
sage
thyme
"lettuce
arugula"
arugula
mushrooms
nettles
New Zealand spinach
okra
Chives
Garlic
Leek
onion
shallot
green onion
parsley
"peppers (biologically fruits, but taxed as vegetables)[source?]bell pepper
chili pepper
Jalapeño
Habanero
Paprika
Tabasco pepper
Cayenne pepper"
bell pepper
"chili pepper
Jalapeño
Habanero
Paprika
Tabasco pepper
Cayenne pepper"
Jalapeño
Habanero
Paprika
Tabasco pepper
Cayenne pepper
radicchio
rhubarb
"root vegetables
beetroot (UK) == Beet (US)
mangel-wurzel: a variety of beet used mostly as cattlefeed[source?]
carrot
celeriac
daikon
ginger
parsnip
rutabaga
turnip
radish
wasabi
horseradish
white radish"
"beetroot (UK) == Beet (US)
mangel-wurzel: a variety of beet used mostly as cattlefeed[source?]"
carrot
celeriac
daikon
ginger
parsnip
rutabaga
turnip
"radish
wasabi
horseradish
white radish"
wasabi
horseradish
white radish
Oyster Plant
skirret
sweetcorn
topinambur
"squashes (biologically fruits, but taxed as vegetables)[source?]acorn squash
bitter melon
butternut squash
banana squash
courgette (UK), Zucchini (US)
cucumber (biologically fruits, but taxed as vegetables)
delicata
gem squash
hubbard squash
marrow (UK) == Squash (US)
patty pans
pumpkin
spaghetti squash"
acorn squash
bitter melon
butternut squash
banana squash
Zucchini
cucumber
delicata
gem squash
hubbard squash
Squash
patty pans
pumpkin
spaghetti squash
tat soi
tomato
"tubers
jicama
jerusalem artichoke
potato
quandong
sunchokes
sweet potato
taro
yam"
jicama
jerusalem artichoke
potato
quandong
sunchokes
sweet potato
taro
yam
water chestnut
watercress
Cucumber
