fruits
Apple
Akee
Apricot
Avocado
Banana
Bilberry
Blackberry
Blackcurrant
Blueberry
Boysenberry
Currant
Cherry
Cherimoya
Chico_fruit
Cloudberry
Coconut
Cranberry
Cucumber
Damson
Date palm
Dragonfruit
Pitaya
Durian
Elderberry
Feijoa
Fig
Goji_berry
Gooseberry
Grape
Raisin
Grapefruit
Guava
Honeyberry
Huckleberry
Jabuticaba
Jackfruit
Jambul
Jostaberry
Jujube
Juniper berry
Kiwifruit
Kumquat
Lemon
Lime
Loquat
Longan
Lychee
Mango
Marionberry
Melon
Cantaloupe
Honeydew
Watermelon
Miracle_fruit
Mulberry
Nectarine
Nance
Olive
Orange
Blood orange
Clementine
Mandarine
Tangerine
Papaya
Passionfruit
Peach
Pear
Persimmon
Plantain
Plum
Prune
Pineapple
Pineberry
Plumcot
Pomegranate
Pomelo
Quince
Raspberry
Salmonberry
Rambutan
Redcurrant
Salal
Salak
Satsuma
Soursop
Star apple
Star fruit
Strawberry
Tamarillo
Tamarind
Ugli_fruit
Yuzu
Avocado
Chili_pepper
Cucumber
Eggplant
Olive
Pea
Pumpkin
